MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Healthcare,,,,,,"http://www.underconsideration.com/brandnew/archives/zocdoc_logo.png",,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/en/7/71/Oscar_Health_logo.svg",,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1479522120/q1byy7vwt9bxpj1tap7o.png",,,,,,
Real Estate,"https://static1.squarespace.com/static/516c687de4b00f416237be7e/t/560fed33e4b09e1a44ea7f0d/1443884340316/Compass-Real-Estate-RETech.png",,,,,,,,,,,,,,,,,,,,,,,,"http://www.almoffice.ca/wp-content/uploads/2015/10/breather-logo.jpg",,,,,
Cooking,,,,,,,,,,,,,,"https://p5.zdassets.com/hc/theme_assets/253623/200041337/BA_logo-02_STACKED.png",,,,,,,,,,,,"https://photos.prnewswire.com/prnvar/20160309/342306LOGO",,,,
Food & Drink,"http://whatpixel.com/images/2016/01/instacart-logo-redesign-rebrand-2016.jpg",,,,,,,"http://zelkovavc.com/wp-content/uploads/2015/05/hungryroot-logo.png",,,,,,,,,,,,,,,,,,,,,,
Restaurants & Delivery,,"https://pbs.twimg.com/profile_images/786149771283226624/8zsbj0DQ.jpg",,,,"http://s2.q4cdn.com/723557020/files/Grubhub-logo-inverted-251by107px@2x.png",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/en/1/15/Postmates_logo.png",,,,"http://uk.deliveroo.puzzlelondon.co.uk/blog/wp-content/uploads/sites/2/2016/09/PREFERRED-VERSION-Deliveroo-Logo_Full_CMYK_Teal_edit.png",
Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://photos.prnewswire.com/prn/20160808/396236LOGO/Honor-Senior-Care-Logo"
Weather,,,,,,,,,,,,,,,,"https://s-media-cache-ak0.pinimg.com/236x/28/20/03/2820030de815cf05349356e6ec499c2a.jpg",,,,"http://mms.businesswire.com/media/20160817005298/en/539840/5/TCC_Hex_4Color_LRG.jpg",,,,,,,,,,
Careers & Hiring,,,,,,"https://s3.amazonaws.com/tdhq-company-logos/companies/logos/000/000/603/original/hired-light-padding-short.png?1470758499",,,,,,,,,,,,,,,,,,,,"https://press-content.glassdoor.com/app/uploads/sites/2/2015/04/GD-logo-green-on-white-01.jpg",,,,
Local Services,,"https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/ThumbtackLogo.svg/1280px-ThumbtackLogo.svg.png",,,,,,,,,,,,,,,,,,,,,,,"http://core0.staticworld.net/images/article/2014/09/handy_logo-100435695-large.jpg",,,,,
Faith & Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,"https://www.waze.com/assets/press/logo@2x-1fe7fea8f69b97707a15e0e5f336d422.png",,,,,,,,,"http://static4.businessinsider.com/image/56b10e64c08a80431d8bc158-326-163/uber_logobit_digital_white.png",,,"http://thepowershot.com/wp-content/uploads/2015/10/lyft-logo-facebook.jpg",,
Communication,,"http://ec2-50-19-249-57.compute-1.amazonaws.com/system/companies/158-logo-giphy_l.jpg?1400273381","https://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/062015/whatsapp_logo.jpg?itok=0OJT0IcZ",,,,,,,,,,"http://www.logospike.com/wp-content/uploads/2014/11/Snapchat_logo.jpg",,"http://bostonvr.org/wp-content/uploads/2016/03/colorLogo-altspaceVR.png",,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Skype_logo.svg/2000px-Skype_logo.svg.png",,
Beauty & Health,,,,,,"https://d1vwnfeb9fby91.cloudfront.net/public/tumblr_assets/img/StyleSeat.Logo.Web.png",,"http://maniacmagazine.com/wp-content/uploads/2016/05/glossier-logo.-maniac-magazine.jpg",,,,,,,,,,,,,"https://www.filepicker.io/api/file/fjgSxvpvSJiaLUkmMlFF",,,,"http://photos.prnewswire.com/prn/20151008/275456LOGO/GLAMSQUAD-LOGO",,,,,
Deals & Coupons,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Groupon_Logo.svg/2000px-Groupon_Logo.svg.png",,,,,,,,,,,,,,,,,,,,,,,
Dating,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/en/d/d5/Tinder_logo.png",,,,,,,,,,,,,,
Gifting,,,,,,"https://d2o2wpn1drmies.cloudfront.net/avatars/429/eec/123/ce0/4c9/d83/f0f/489/a27/7c1/5e/Raise-Mint-Monkey-01-png.medium.png?1429807830",,,,,,,,,,,,,,,,,,,,,,,,
Blogging,,,,,,,,,,,,,,,,,,"https://cdn-images-1.medium.com/max/800/1*5ztbgEt4NqpVaxTc64C-XA.png",,,,,,,,,,,,
News,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BuzzFeed.svg/2000px-BuzzFeed.svg.png",,,,,,,,,,,,,,,,,,,,,,,
Weddings,"http://www-static.weddingbee.com/wp-content/uploads/2015/02/Zola-Logo-300x150.jpg",,,"https://d1qb2nb5cznatu.cloudfront.net/startups/i/156611-0983b09853f96f288436593107d60d28-medium_jpg.jpg?buster=1390437410",,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,"http://168kuc2h8b8d20lvkb36obq9-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/1Password-Logo.jpg",,,,,,,,,,,,,,,,,,,,
Home,"https://nextdoor.com/static/nextdoorv2/images/newsroom/logo-green-large.png","http://st.hzcdn.com/res/2469/pic/print_logo.png?v=2469",,,,,,"https://upload.wikimedia.org/wikipedia/commons/0/08/Casper_Logo.png",,,,,,"http://resources.point.com/wp-content/uploads/2016/05/cropped-512-logo-print-color.png",,,,,,,,,,,,,,,,"https://www.homepolish.com/assets/homepolish_logo-c85e020ccc97927625589eac4ba0ecd5.png"
